Fault_Node,Fault_Type,Detected,Test_Cube,Solve_Time_s
G127gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=X G27gat=X G30gat=0 G34gat=0 G37gat=1 G40gat=0 G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008575
G127gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=1 G34gat=0 G37gat=1 G40gat=0 G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.009238
G130gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=0 G40gat=X G43gat=1 G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004799
G130gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=1 G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005023
G131gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=X G40gat=X G43gat=0 G47gat=0 G50gat=1 G53gat=0 G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008771
G131gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=1 G47gat=0 G50gat=1 G53gat=0 G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008651
G134gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=0 G53gat=X G56gat=1 G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004883
G134gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=1 G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.00562
G135gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=X G53gat=X G56gat=0 G60gat=0 G63gat=1 G66gat=0 G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007252
G135gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=1 G60gat=0 G63gat=1 G66gat=0 G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008175
G138gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=0 G66gat=X G69gat=1 G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005517
G138gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=1 G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005222
G139gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=X G66gat=X G69gat=0 G73gat=0 G76gat=1 G79gat=0 G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.00752
G139gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=1 G73gat=0 G76gat=1 G79gat=0 G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008575
G142gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=0 G79gat=X G82gat=1 G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005538
G142gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=1 G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004741
G143gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=X G79gat=X G82gat=0 G86gat=0 G89gat=1 G92gat=0 G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007958
G143gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=1 G86gat=0 G89gat=1 G92gat=0 G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008465
G146gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=0 G92gat=X G95gat=1 G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004841
G146gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=1 G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.00502
G147gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=X G92gat=X G95gat=0 G99gat=0 G102gat=1 G105gat=0 G108gat=X G112gat=1 G115gat=X,0.007815
G147gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=1 G99gat=0 G102gat=1 G105gat=0 G108gat=X G112gat=1 G115gat=X,0.009099
G150gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=0 G105gat=X G108gat=1 G112gat=X G115gat=X,0.00526
G150gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=1 G112gat=X G115gat=X,0.005548
G151gat,sa0,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=X G105gat=X G108gat=0 G112gat=0 G115gat=0,0.007889
G151gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=1 G112gat=0 G115gat=0,0.009433
G154gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004061
G154gat,sa1,YES,G1gat=0 G4gat=1 G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005068
G157gat,sa0,YES,G1gat=1 G4gat=1 G8gat=0 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.008555
G157gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=X G17gat=X G21gat=1 G24gat=1 G27gat=X G30gat=X G34gat=1 G37gat=1 G40gat=X G43gat=X G47gat=1 G50gat=1 G53gat=X G56gat=X G60gat=1 G63gat=1 G66gat=X G69gat=X G73gat=1 G76gat=1 G79gat=X G82gat=X G86gat=1 G89gat=1 G92gat=X G95gat=X G99gat=1 G102gat=1 G105gat=X G108gat=X G112gat=1 G115gat=X,0.007833
G158gat,sa0,YES,G1gat=1 G4gat=1 G8gat=1 G11gat=1 G14gat=0 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.011559
G158gat,sa1,YES,G1gat=1 G4gat=X G8gat=1 G11gat=1 G14gat=1 G17gat=X G21gat=1 G24gat=1 G27gat=1 G30gat=X G34gat=1 G37gat=1 G40gat=1 G43gat=X G47gat=1 G50gat=1 G53gat=1 G56gat=X G60gat=1 G63gat=1 G66gat=1 G69gat=X G73gat=1 G76gat=1 G79gat=1 G82gat=X G86gat=1 G89gat=1 G92gat=1 G95gat=X G99gat=1 G102gat=1 G105gat=1 G108gat=X G112gat=1 G115gat=1,0.010784
G159gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.005034
G159gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=0 G14gat=X G17gat=1 G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.003726
G162gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004051
G162gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=0 G27gat=X G30gat=1 G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004042
G165gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004517
G165gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=0 G40gat=X G43gat=1 G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004479
G168gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.003958
G168gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=0 G53gat=X G56gat=1 G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004072
G171gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004542
G171gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=0 G66gat=X G69gat=1 G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004487
G174gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.003466
G174gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=0 G79gat=X G82gat=1 G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004508
G177gat,sa0,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=1 G92gat=X G95gat=X G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.00419
G177gat,sa1,YES,G1gat=1 G4gat=X G8gat=X G11gat=1 G14gat=X G17gat=X G21gat=X G24gat=1 G27gat=X G30gat=X G34gat=X G37gat=1 G40gat=X G43gat=X G47gat=X G50gat=1 G53gat=X G56gat=X G60gat=X G63gat=1 G66gat=X G69gat=X G73gat=X G76gat=1 G79gat=X G82gat=X G86gat=X G89gat=0 G92gat=X G95gat=1 G99gat=X G102gat=1 G105gat=X G108gat=X G112gat=X G115gat=X,0.004558
